LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CHN,GDEXPRD,TOT,PC_GDP,A,2000,0.89316325,
CHN,GDEXPRD,TOT,PC_GDP,A,2001,0.940330913,
CHN,GDEXPRD,TOT,PC_GDP,A,2002,1.057860257,
CHN,GDEXPRD,TOT,PC_GDP,A,2003,1.120366462,
CHN,GDEXPRD,TOT,PC_GDP,A,2004,1.214982433,
CHN,GDEXPRD,TOT,PC_GDP,A,2005,1.307915592,
CHN,GDEXPRD,TOT,PC_GDP,A,2006,1.368536788,
CHN,GDEXPRD,TOT,PC_GDP,A,2007,1.373694104,
CHN,GDEXPRD,TOT,PC_GDP,A,2008,1.445920088,
CHN,GDEXPRD,TOT,PC_GDP,A,2009,1.664795447,
CHN,GDEXPRD,TOT,PC_GDP,A,2010,1.713721488,
CHN,GDEXPRD,TOT,PC_GDP,A,2011,1.780343022,
CHN,GDEXPRD,TOT,PC_GDP,A,2012,1.912141,
CHN,GDEXPRD,TOT,PC_GDP,A,2013,1.99786394,
CHN,GDEXPRD,TOT,PC_GDP,A,2014,2.029630973,
CHN,GDEXPRD,TOT,PC_GDP,A,2015,2.065602226,
CHN,GDEXPRD,TOT,PC_GDP,A,2016,2.11830547,
CHN,GDEXPRD,TOT,PC_GDP,A,2017,2.145115717,
CHN,GDEXPRD,TOT,PC_GDP,A,2018,2.185684964,
