"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","GDEXPRD","TOT","PC_GDP","A","1981",2.35161202484893,
"DEU","GDEXPRD","TOT","PC_GDP","A","1982",2.42025715929831,
"DEU","GDEXPRD","TOT","PC_GDP","A","1983",2.4091910004787,
"DEU","GDEXPRD","TOT","PC_GDP","A","1984",2.42847360382166,
"DEU","GDEXPRD","TOT","PC_GDP","A","1985",2.5853069351185,
"DEU","GDEXPRD","TOT","PC_GDP","A","1986",2.63058004117131,
"DEU","GDEXPRD","TOT","PC_GDP","A","1987",2.72770647714364,
"DEU","GDEXPRD","TOT","PC_GDP","A","1988",2.72944810832465,
"DEU","GDEXPRD","TOT","PC_GDP","A","1989",2.7111788516316,
"DEU","GDEXPRD","TOT","PC_GDP","A","1990",2.60587943582208,
"DEU","GDEXPRD","TOT","PC_GDP","A","1991",2.38665657712196,
"DEU","GDEXPRD","TOT","PC_GDP","A","1992",2.27303902582753,
"DEU","GDEXPRD","TOT","PC_GDP","A","1993",2.20596853931429,
"DEU","GDEXPRD","TOT","PC_GDP","A","1994",2.12630002918751,
"DEU","GDEXPRD","TOT","PC_GDP","A","1995",2.13519811465156,
"DEU","GDEXPRD","TOT","PC_GDP","A","1996",2.14461147716745,
"DEU","GDEXPRD","TOT","PC_GDP","A","1997",2.18832129107921,
"DEU","GDEXPRD","TOT","PC_GDP","A","1998",2.21612930769154,
"DEU","GDEXPRD","TOT","PC_GDP","A","1999",2.34779235535184,
"DEU","GDEXPRD","TOT","PC_GDP","A","2000",2.40981736199024,
"DEU","GDEXPRD","TOT","PC_GDP","A","2001",2.40437243963287,
"DEU","GDEXPRD","TOT","PC_GDP","A","2002",2.4362209979437,
"DEU","GDEXPRD","TOT","PC_GDP","A","2003",2.47461387159348,
"DEU","GDEXPRD","TOT","PC_GDP","A","2004",2.43518832982692,
"DEU","GDEXPRD","TOT","PC_GDP","A","2005",2.44192827894822,
"DEU","GDEXPRD","TOT","PC_GDP","A","2006",2.47231547788753,
"DEU","GDEXPRD","TOT","PC_GDP","A","2007",2.46048056650197,
"DEU","GDEXPRD","TOT","PC_GDP","A","2008",2.61513302624397,
"DEU","GDEXPRD","TOT","PC_GDP","A","2009",2.74266255882702,
"DEU","GDEXPRD","TOT","PC_GDP","A","2010",2.73023738816097,
"DEU","GDEXPRD","TOT","PC_GDP","A","2011",2.80554628346872,
"DEU","GDEXPRD","TOT","PC_GDP","A","2012",2.88165555073926,
"DEU","GDEXPRD","TOT","PC_GDP","A","2013",2.83598654738827,
"DEU","GDEXPRD","TOT","PC_GDP","A","2014",2.87784049490509,
"DEU","GDEXPRD","TOT","PC_GDP","A","2015",2.9300253459491,
"DEU","GDEXPRD","TOT","PC_GDP","A","2016",2.94098962168856,
"DEU","GDEXPRD","TOT","PC_GDP","A","2017",3.06791751160466,
"DEU","GDEXPRD","TOT","PC_GDP","A","2018",3.13266773712239,
