LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDEXPRD,TOT,MLN_USD,A,2000,10669.10774,
AUS,GDEXPRD,TOT,MLN_USD,A,2002,12757.71702,
AUS,GDEXPRD,TOT,MLN_USD,A,2004,14379.68191,
AUS,GDEXPRD,TOT,MLN_USD,A,2006,17769.63882,
AUS,GDEXPRD,TOT,MLN_USD,A,2008,21039.21839,
AUS,GDEXPRD,TOT,MLN_USD,A,2010,21381.89686,
AUS,GDEXPRD,TOT,MLN_USD,A,2011,21520.95441,
AUS,GDEXPRD,TOT,MLN_USD,A,2013,22435.38071,
AUS,GDEXPRD,TOT,MLN_USD,A,2015,21151.51702,
AUS,GDEXPRD,TOT,MLN_USD,A,2017,21237.28786,
AUT,GDEXPRD,TOT,MLN_USD,A,2000,6623.921608,
AUT,GDEXPRD,TOT,MLN_USD,A,2001,7085.144156,
AUT,GDEXPRD,TOT,MLN_USD,A,2002,7469.259021,
AUT,GDEXPRD,TOT,MLN_USD,A,2003,7935.803559,
AUT,GDEXPRD,TOT,MLN_USD,A,2004,8121.2149,
AUT,GDEXPRD,TOT,MLN_USD,A,2005,9097.434016,
AUT,GDEXPRD,TOT,MLN_USD,A,2006,9356.091982,
AUT,GDEXPRD,TOT,MLN_USD,A,2007,9948.376862,
AUT,GDEXPRD,TOT,MLN_USD,A,2008,10723.95105,
AUT,GDEXPRD,TOT,MLN_USD,A,2009,10429.84479,
AUT,GDEXPRD,TOT,MLN_USD,A,2010,11150.58846,
AUT,GDEXPRD,TOT,MLN_USD,A,2011,11234.75622,
AUT,GDEXPRD,TOT,MLN_USD,A,2012,12354.04795,
AUT,GDEXPRD,TOT,MLN_USD,A,2013,12527.6284,
AUT,GDEXPRD,TOT,MLN_USD,A,2014,13162.56524,
AUT,GDEXPRD,TOT,MLN_USD,A,2015,13146.95828,
AUT,GDEXPRD,TOT,MLN_USD,A,2016,13715.15358,
AUT,GDEXPRD,TOT,MLN_USD,A,2017,13749.34753,
AUT,GDEXPRD,TOT,MLN_USD,A,2018,14664.27576,
AUT,GDEXPRD,TOT,MLN_USD,A,2019,15082.68364,
BEL,GDEXPRD,TOT,MLN_USD,A,2000,7980.304644,
BEL,GDEXPRD,TOT,MLN_USD,A,2001,8470.571528,
BEL,GDEXPRD,TOT,MLN_USD,A,2002,8066.136722,
BEL,GDEXPRD,TOT,MLN_USD,A,2003,7884.143928,
BEL,GDEXPRD,TOT,MLN_USD,A,2004,8073.941604,
BEL,GDEXPRD,TOT,MLN_USD,A,2005,8125.718499,
BEL,GDEXPRD,TOT,MLN_USD,A,2006,8482.438995,
BEL,GDEXPRD,TOT,MLN_USD,A,2007,8926.060377,
BEL,GDEXPRD,TOT,MLN_USD,A,2008,9386.843341,
