"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2000",108.91,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2001",226.22,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2002",251.62,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2003",280.64,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2004",255.19,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2005",277.55,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2006",269.01,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2007",408.65,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2008",408.95,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2009",452.36,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2010",535.63,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2011",587.69,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2012",673.76,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2013",744.53,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2014",718.81,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2015",700.36,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2016",491.15,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2017",562.69,
"AUS","ODASECTOR","MULTISEC","MLN_USD","A","2018",516.46,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2000",28.8,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2001",18.32,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2002",19.96,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2003",16.27,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2004",22.67,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2005",22.24,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2006",23.11,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2007",19.14,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2008",29.36,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2009",32.7,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2010",37.67,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2011",24.18,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2012",14.75,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2013",39.18,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2014",35.6,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2015",21.19,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2016",31.2,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2017",23.43,
"AUT","ODASECTOR","MULTISEC","MLN_USD","A","2018",26.37,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2000",50.47,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2001",60.78,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2002",84.51,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2003",69.7,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2004",37.86,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2005",44.46,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2006",46.39,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2007",59.44,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2008",131.07,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2009",100.09,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2010",86.06,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2011",93.62,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2012",65.2,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2013",215.49,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2014",203.78,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2015",151.15,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2016",142.69,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2017",155.66,
"BEL","ODASECTOR","MULTISEC","MLN_USD","A","2018",132.97,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2000",229.68,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2001",156.72,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2002",271.87,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2003",151.45,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2004",102.97,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2005",185.24,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2006",192.89,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2007",248.86,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2008",245.9,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2009",305.49,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2010",302.06,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2011",285.79,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2012",371.57,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2013",228.07,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2014",462.95,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2015",449.24,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2016",266,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2017",309.53,
"CAN","ODASECTOR","MULTISEC","MLN_USD","A","2018",276.01,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2002",10.97,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2003",30.29,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2004",8.59,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2005",6.74,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2006",5.78,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2007",5.15,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2008",2.39,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2009",2.12,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2010",1.94,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2011",2.13,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2012",1.24,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2013",0.97,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2014",2.48,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2015",6.25,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2016",4.54,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2017",3.17,
"CZE","ODASECTOR","MULTISEC","MLN_USD","A","2018",2.67,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2000",35.97,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2001",134.05,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2002",76.52,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2003",84.25,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2004",109.75,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2005",191.65,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2006",75.44,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2007",91.73,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2008",192.26,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2009",149.39,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2010",153.55,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2011",100.58,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2012",163.46,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2013",184.2,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2014",159.83,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2015",126.08,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2016",44.5,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2017",118.17,
"DNK","ODASECTOR","MULTISEC","MLN_USD","A","2018",80.78,
"FIN","ODASECTOR","MULTISEC","MLN_USD","A","2000",55.87,
"FIN","ODASECTOR","MULTISEC","MLN_USD","A","2001",97.5,
"FIN","ODASECTOR","MULTISEC","MLN_USD","A","2002",42.47,
"FIN","ODASECTOR","MULTISEC","MLN_USD","A","2003",74.88,
"FIN","ODASECTOR","MULTISEC","MLN_USD","A","2004",57.52,
"FIN","ODASECTOR","MULTISEC","MLN_USD","A","2005",124.43,
"FIN","ODASECTOR","MULTISEC","MLN_USD","A","2006",90.62,
"FIN","ODASECTOR","MULTISEC","MLN_USD","A","2007",58.07,
"FIN","ODASECTOR","MULTISEC","MLN_USD","A","2008",125.56,
