"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NODA","TOT","PC_GNI","A","2000",0.266644,
"AUS","NODA","TOT","PC_GNI","A","2001",0.251897,
"AUS","NODA","TOT","PC_GNI","A","2002",0.255604,
"AUS","NODA","TOT","PC_GNI","A","2003",0.2472,
"AUS","NODA","TOT","PC_GNI","A","2004",0.245141,
"AUS","NODA","TOT","PC_GNI","A","2005",0.247574,
"AUS","NODA","TOT","PC_GNI","A","2006",0.295075,
"AUS","NODA","TOT","PC_GNI","A","2007",0.322592,
"AUS","NODA","TOT","PC_GNI","A","2008",0.316008,
"AUS","NODA","TOT","PC_GNI","A","2009",0.293623,
"AUS","NODA","TOT","PC_GNI","A","2010",0.322727,
"AUS","NODA","TOT","PC_GNI","A","2011",0.343566,
"AUS","NODA","TOT","PC_GNI","A","2012",0.36093,
"AUS","NODA","TOT","PC_GNI","A","2013",0.330898,
"AUS","NODA","TOT","PC_GNI","A","2014",0.314311,
"AUS","NODA","TOT","PC_GNI","A","2015",0.291112,
"AUS","NODA","TOT","PC_GNI","A","2016",0.265827,
"AUS","NODA","TOT","PC_GNI","A","2017",0.231997,
"AUT","NODA","TOT","PC_GNI","A","2000",0.234436,
"AUT","NODA","TOT","PC_GNI","A","2001",0.341561,
"AUT","NODA","TOT","PC_GNI","A","2002",0.255124,
"AUT","NODA","TOT","PC_GNI","A","2003",0.201613,
"AUT","NODA","TOT","PC_GNI","A","2004",0.232908,
"AUT","NODA","TOT","PC_GNI","A","2005",0.521781,
"AUT","NODA","TOT","PC_GNI","A","2006",0.468866,
"AUT","NODA","TOT","PC_GNI","A","2007",0.498059,
"AUT","NODA","TOT","PC_GNI","A","2008",0.428275,
"AUT","NODA","TOT","PC_GNI","A","2009",0.302039,
"AUT","NODA","TOT","PC_GNI","A","2010",0.322422,
"AUT","NODA","TOT","PC_GNI","A","2011",0.267127,
"AUT","NODA","TOT","PC_GNI","A","2012",0.280216,
