"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2000",882.39,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2001",776.34,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2002",711.39,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2003",774.11,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2004",831.27,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2005",895.96,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2006",1157.43,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2007",1233.96,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2008",1297.27,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2009",1279.24,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2010",1494.12,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2011",1657.48,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2012",1813.2,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2013",1530.71,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2014",1515.06,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2015",1330.65,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2016",1049.98,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2017",981.13,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2018",1146.85,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2000",249.25,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2001",184.75,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2002",211.64,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2003",199.52,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2004",185.29,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2005",215.08,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2006",230.96,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2007",273.44,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2008",296.53,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2009",227.57,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2010",260.38,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2011",271.94,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2012",376.29,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2013",278.9,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2014",248.35,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2015",230.42,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2016",288.42,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2017",272.69,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2018",240.23,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2000",355.3,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2001",355.06,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2002",409.79,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2003",394.96,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2004",411.98,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2005",494.67,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2006",576,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2007",489.8,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2008",719.3,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","2009",696.59,
