"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ODASECTOR","PROD","MLN_USD","A","2000",118.41,
"AUS","ODASECTOR","PROD","MLN_USD","A","2001",138.29,
"AUS","ODASECTOR","PROD","MLN_USD","A","2002",119.38,
"AUS","ODASECTOR","PROD","MLN_USD","A","2003",124.27,
"AUS","ODASECTOR","PROD","MLN_USD","A","2004",120.55,
"AUS","ODASECTOR","PROD","MLN_USD","A","2005",130.05,
"AUS","ODASECTOR","PROD","MLN_USD","A","2006",107.96,
"AUS","ODASECTOR","PROD","MLN_USD","A","2007",126.46,
"AUS","ODASECTOR","PROD","MLN_USD","A","2008",126.54,
"AUS","ODASECTOR","PROD","MLN_USD","A","2009",141.92,
"AUS","ODASECTOR","PROD","MLN_USD","A","2010",232.06,
"AUS","ODASECTOR","PROD","MLN_USD","A","2011",233.26,
"AUS","ODASECTOR","PROD","MLN_USD","A","2012",222.36,
"AUS","ODASECTOR","PROD","MLN_USD","A","2013",198.7,
"AUS","ODASECTOR","PROD","MLN_USD","A","2014",138.53,
"AUS","ODASECTOR","PROD","MLN_USD","A","2015",165.66,
"AUS","ODASECTOR","PROD","MLN_USD","A","2016",167.47,
"AUS","ODASECTOR","PROD","MLN_USD","A","2017",195.18,
"AUS","ODASECTOR","PROD","MLN_USD","A","2018",222.3,
"AUT","ODASECTOR","PROD","MLN_USD","A","2000",25.35,
"AUT","ODASECTOR","PROD","MLN_USD","A","2001",14.96,
"AUT","ODASECTOR","PROD","MLN_USD","A","2002",18.79,
"AUT","ODASECTOR","PROD","MLN_USD","A","2003",18.26,
"AUT","ODASECTOR","PROD","MLN_USD","A","2004",16.92,
"AUT","ODASECTOR","PROD","MLN_USD","A","2005",26.87,
"AUT","ODASECTOR","PROD","MLN_USD","A","2006",19.01,
"AUT","ODASECTOR","PROD","MLN_USD","A","2007",21.07,
"AUT","ODASECTOR","PROD","MLN_USD","A","2008",23.74,
"AUT","ODASECTOR","PROD","MLN_USD","A","2009",22.84,
"AUT","ODASECTOR","PROD","MLN_USD","A","2010",28.02,
"AUT","ODASECTOR","PROD","MLN_USD","A","2011",15.4,
"AUT","ODASECTOR","PROD","MLN_USD","A","2012",21.62,
"AUT","ODASECTOR","PROD","MLN_USD","A","2013",80.56,
"AUT","ODASECTOR","PROD","MLN_USD","A","2014",30.45,
"AUT","ODASECTOR","PROD","MLN_USD","A","2015",26.21,
"AUT","ODASECTOR","PROD","MLN_USD","A","2016",41.19,
"AUT","ODASECTOR","PROD","MLN_USD","A","2017",42.92,
"AUT","ODASECTOR","PROD","MLN_USD","A","2018",34.67,
"BEL","ODASECTOR","PROD","MLN_USD","A","2000",89.54,
"BEL","ODASECTOR","PROD","MLN_USD","A","2001",79.91,
"BEL","ODASECTOR","PROD","MLN_USD","A","2002",78.03,
"BEL","ODASECTOR","PROD","MLN_USD","A","2003",73.68,
"BEL","ODASECTOR","PROD","MLN_USD","A","2004",71.56,
"BEL","ODASECTOR","PROD","MLN_USD","A","2005",70.92,
"BEL","ODASECTOR","PROD","MLN_USD","A","2006",81.94,
"BEL","ODASECTOR","PROD","MLN_USD","A","2007",63.7,
"BEL","ODASECTOR","PROD","MLN_USD","A","2008",148.4,
"BEL","ODASECTOR","PROD","MLN_USD","A","2009",200.38,
"BEL","ODASECTOR","PROD","MLN_USD","A","2010",166.69,
"BEL","ODASECTOR","PROD","MLN_USD","A","2011",204.61,
"BEL","ODASECTOR","PROD","MLN_USD","A","2012",83.99,
"BEL","ODASECTOR","PROD","MLN_USD","A","2013",140.98,
"BEL","ODASECTOR","PROD","MLN_USD","A","2014",110.26,
"BEL","ODASECTOR","PROD","MLN_USD","A","2015",132.02,
"BEL","ODASECTOR","PROD","MLN_USD","A","2016",77.95,
"BEL","ODASECTOR","PROD","MLN_USD","A","2017",108.19,
"BEL","ODASECTOR","PROD","MLN_USD","A","2018",74.27,
"CAN","ODASECTOR","PROD","MLN_USD","A","2000",153.65,
"CAN","ODASECTOR","PROD","MLN_USD","A","2001",110.29,
"CAN","ODASECTOR","PROD","MLN_USD","A","2002",103.6,
"CAN","ODASECTOR","PROD","MLN_USD","A","2003",266.02,
"CAN","ODASECTOR","PROD","MLN_USD","A","2004",332.32,
"CAN","ODASECTOR","PROD","MLN_USD","A","2005",177.74,
"CAN","ODASECTOR","PROD","MLN_USD","A","2006",177.39,
