LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDEXPRD,TOT,PC_GDP,A,2000,1.477464521,
AUS,GDEXPRD,TOT,PC_GDP,A,2002,1.649470635,
AUS,GDEXPRD,TOT,PC_GDP,A,2004,1.731244803,
AUS,GDEXPRD,TOT,PC_GDP,A,2006,2.004172676,
AUS,GDEXPRD,TOT,PC_GDP,A,2008,2.245701884,
AUS,GDEXPRD,TOT,PC_GDP,A,2010,2.182304101,
AUS,GDEXPRD,TOT,PC_GDP,A,2011,2.114030536,
AUS,GDEXPRD,TOT,PC_GDP,A,2013,2.093892514,
AUS,GDEXPRD,TOT,PC_GDP,A,2015,1.875612466,
AUS,GDEXPRD,TOT,PC_GDP,A,2017,1.789383956,
AUT,GDEXPRD,TOT,PC_GDP,A,2000,1.886024244,
AUT,GDEXPRD,TOT,PC_GDP,A,2001,1.992104481,
AUT,GDEXPRD,TOT,PC_GDP,A,2002,2.065983838,
AUT,GDEXPRD,TOT,PC_GDP,A,2003,2.174556416,
AUT,GDEXPRD,TOT,PC_GDP,A,2004,2.166116646,
AUT,GDEXPRD,TOT,PC_GDP,A,2005,2.373239905,
AUT,GDEXPRD,TOT,PC_GDP,A,2006,2.359227098,
AUT,GDEXPRD,TOT,PC_GDP,A,2007,2.418432317,
AUT,GDEXPRD,TOT,PC_GDP,A,2008,2.569448163,
AUT,GDEXPRD,TOT,PC_GDP,A,2009,2.596736777,
AUT,GDEXPRD,TOT,PC_GDP,A,2010,2.726100573,
AUT,GDEXPRD,TOT,PC_GDP,A,2011,2.668677896,
AUT,GDEXPRD,TOT,PC_GDP,A,2012,2.91471878,
AUT,GDEXPRD,TOT,PC_GDP,A,2013,2.954918369,
AUT,GDEXPRD,TOT,PC_GDP,A,2014,3.084286721,
AUT,GDEXPRD,TOT,PC_GDP,A,2015,3.049690499,
AUT,GDEXPRD,TOT,PC_GDP,A,2016,3.116588032,
AUT,GDEXPRD,TOT,PC_GDP,A,2017,3.048854973,
AUT,GDEXPRD,TOT,PC_GDP,A,2018,3.17491079,
AUT,GDEXPRD,TOT,PC_GDP,A,2019,3.216555087,
BEL,GDEXPRD,TOT,PC_GDP,A,2000,1.936195166,
BEL,GDEXPRD,TOT,PC_GDP,A,2001,2.032791651,
BEL,GDEXPRD,TOT,PC_GDP,A,2002,1.903247913,
BEL,GDEXPRD,TOT,PC_GDP,A,2003,1.841195004,
BEL,GDEXPRD,TOT,PC_GDP,A,2004,1.820504973,
BEL,GDEXPRD,TOT,PC_GDP,A,2005,1.790606402,
BEL,GDEXPRD,TOT,PC_GDP,A,2006,1.822692776,
BEL,GDEXPRD,TOT,PC_GDP,A,2007,1.849994631,
BEL,GDEXPRD,TOT,PC_GDP,A,2008,1.936839386,
BEL,GDEXPRD,TOT,PC_GDP,A,2009,1.998598447,
BEL,GDEXPRD,TOT,PC_GDP,A,2010,2.061876394,
BEL,GDEXPRD,TOT,PC_GDP,A,2011,2.173324418,
BEL,GDEXPRD,TOT,PC_GDP,A,2012,2.281140634,
BEL,GDEXPRD,TOT,PC_GDP,A,2013,2.330725158,
BEL,GDEXPRD,TOT,PC_GDP,A,2014,2.370016325,
BEL,GDEXPRD,TOT,PC_GDP,A,2015,2.428165588,
BEL,GDEXPRD,TOT,PC_GDP,A,2016,2.521695528,
BEL,GDEXPRD,TOT,PC_GDP,A,2017,2.658806954,
BEL,GDEXPRD,TOT,PC_GDP,A,2018,2.764047568,
CAN,GDEXPRD,TOT,PC_GDP,A,2000,1.858470207,
CAN,GDEXPRD,TOT,PC_GDP,A,2001,2.021156042,
CAN,GDEXPRD,TOT,PC_GDP,A,2002,1.971694588,
CAN,GDEXPRD,TOT,PC_GDP,A,2003,1.967807056,
CAN,GDEXPRD,TOT,PC_GDP,A,2004,1.997333295,
CAN,GDEXPRD,TOT,PC_GDP,A,2005,1.971243467,
CAN,GDEXPRD,TOT,PC_GDP,A,2006,1.94299895,
CAN,GDEXPRD,TOT,PC_GDP,A,2007,1.903577511,
CAN,GDEXPRD,TOT,PC_GDP,A,2008,1.855777859,
CAN,GDEXPRD,TOT,PC_GDP,A,2009,1.917415394,
CAN,GDEXPRD,TOT,PC_GDP,A,2010,1.825277543,
CAN,GDEXPRD,TOT,PC_GDP,A,2011,1.787140592,
CAN,GDEXPRD,TOT,PC_GDP,A,2012,1.772328277,
CAN,GDEXPRD,TOT,PC_GDP,A,2013,1.705404188,
CAN,GDEXPRD,TOT,PC_GDP,A,2014,1.714172855,
CAN,GDEXPRD,TOT,PC_GDP,A,2015,1.693242854,
CAN,GDEXPRD,TOT,PC_GDP,A,2016,1.728728459,
CAN,GDEXPRD,TOT,PC_GDP,A,2017,1.668856344,
CAN,GDEXPRD,TOT,PC_GDP,A,2018,1.562870977,
CAN,GDEXPRD,TOT,PC_GDP,A,2019,1.541347399,
CZE,GDEXPRD,TOT,PC_GDP,A,2000,1.113191474,
CZE,GDEXPRD,TOT,PC_GDP,A,2001,1.103332971,
CZE,GDEXPRD,TOT,PC_GDP,A,2002,1.102018016,
CZE,GDEXPRD,TOT,PC_GDP,A,2003,1.147409704,
CZE,GDEXPRD,TOT,PC_GDP,A,2004,1.145589567,
CZE,GDEXPRD,TOT,PC_GDP,A,2005,1.168347672,
CZE,GDEXPRD,TOT,PC_GDP,A,2006,1.231731897,
CZE,GDEXPRD,TOT,PC_GDP,A,2007,1.302275111,
CZE,GDEXPRD,TOT,PC_GDP,A,2008,1.239327215,
CZE,GDEXPRD,TOT,PC_GDP,A,2009,1.29438486,
CZE,GDEXPRD,TOT,PC_GDP,A,2010,1.336884515,
CZE,GDEXPRD,TOT,PC_GDP,A,2011,1.555706853,
