Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Afghanistan,AFG,..,..,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Albania,ALB,24.51536066,22.7161967,22.02517478,21.9782092,20.53745681,18.84525779,17.70839284,17.1536228,16.83708653,16.79438752,17.95584025,18.22676618,18.76679918,19.56517548,19.99015369,19.78022522
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Algeria,DZA,8.396391153,9.749231133,9.224782205,9.810566397,9.440405913,7.691087014,7.543019796,7.570832888,6.586679947,9.342616093,8.466901279,8.110386806,8.770566136,9.85109233,10.28644397,11.57868913
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Andorra,AND,0.487497832,0.459110473,0.406166344,0.444193488,0.442399276,0.405274295,0.382391576,0.399345782,0.442280559,0.43493937,0.499694105,0.534685933,0.612256498,0.577337773,0.496149201,0.470194705
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Angola,AGO,5.664689564,8.156377022,5.839549975,6.198384339,6.250876536,5.060402948,5.191280189,5.242278337,4.805339317,6.62119707,6.180293181,5.845680969,6.069630075,6.50749254,7.547056779,9.122534471
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Antigua and Barbuda,ATG,1.589539743,1.612725299,1.730291789,1.749526585,1.609971056,1.757817673,1.653204551,1.607652611,1.549311488,1.496707093,1.633408459,1.933181839,1.898847481,2.017611782,1.655760636,1.612326721
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Argentina,ARG,4.679910944,4.568589609,10.20664671,10.32816694,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,17.91268195,18.43476288,18.07203635,17.22312003
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Aruba,ABW,0.410021828,0.40514984,0.402215827,0.401381979,0.391652043,0.386673058,0.39375576,0.405233924,0.380728531,0.440397943,..,..,..,..,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Australia,AUS,3.119068182,3.503359969,3.948012139,2.888533759,3.062114492,2.883330027,2.726734442,2.201100136,2.338630424,2.291720397,2.197568265,2.276542366,2.254748049,2.278906495,2.216223655,2.372644114
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Austria,AUT,1.647300213,1.670703396,1.562774411,1.491931898,1.476474393,1.259399635,1.303189459,1.41639156,1.342223027,1.146817768,1.267327672,1.401914934,1.34855139,1.254721216,1.200740564,1.129790194
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Azerbaijan,AZE,16.08486467,14.83745955,13.95463918,12.42566291,10.98801904,9.147534438,7.091037117,6.540082157,5.570891841,6.121933065,5.544566113,5.076225951,5.139769508,5.36626448,5.319406718,6.177443587
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Bahamas, The",BHS,1.344646857,1.198629931,1.513315828,1.347224211,1.16175186,1.064435453,1.170424648,1.093391246,1.043131294,0.909640992,1.097490432,1.092304713,1.072711161,0.920219262,0.855836456,0.821115867
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bahrain,BHR,..,..,..,..,..,..,0.268763501,0.29227169,0.26481051,0.337284357,0.297677228,0.290850008,0.275736805,0.274788371,0.299909908,0.315465769
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bangladesh,BGD,22.71814808,21.84834058,20.58413442,19.8127183,19.26695957,18.57103955,18.03401651,17.80653678,17.59569554,17.10462905,17.00118126,16.80998676,16.17756317,15.493278,15.3516209,14.78299644
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Barbados,BRB,1.955790485,2.07594693,1.851968703,1.939020108,1.610539645,1.554922639,1.45348465,1.309368901,1.18288163,1.411886219,1.29803379,..,..,..,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Belarus,BLR,12.09682717,10.35042974,10.12843222,8.635627708,8.850251441,8.518590809,8.578727592,8.303169959,8.666253694,8.130898936,8.67327408,8.001887744,8.130942683,6.809092448,7.303056977,6.283207583
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Belgium,BEL,1.17600528,1.109350298,1.033134143,1.029444503,1.022910541,0.840639974,0.907269381,0.88752394,0.712338067,0.645274319,0.765104157,0.64803422,0.781226735,0.681174913,0.637835968,0.68641478
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Belize,BLZ,14.64928925,13.10231246,12.68579865,14.49471541,14.33244269,13.30765488,12.72416106,11.53205681,10.97617927,11.09534214,11.6630755,11.65042882,13.42557211,13.71166096,13.76051764,12.85612809
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Benin,BEN,22.88978789,22.95006871,23.87036167,22.80817693,24.75508666,24.7138685,25.2370858,24.27472912,23.9691932,23.76760563,22.73622617,22.84389238,22.30364479,21.34568201,21.46473591,22.49276072
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bermuda,BMU,0.668952155,0.69232761,0.795458124,0.821851058,0.844158465,0.801641532,0.856786816,0.767576447,0.790533047,0.740341053,0.748048452,0.788755292,0.740816721,0.745266618,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bhutan,BTN,24.26719549,23.16665733,23.20139281,22.13682055,21.72993974,20.1999745,19.36481137,16.73711162,16.38094015,16.19035355,14.78303653,14.29555263,13.96397847,14.09121578,14.51444851,14.43686804
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bolivia,BOL,12.96581268,13.25565282,12.95511869,13.42723687,13.3223838,11.7927212,10.93754787,10.01115609,10.44240446,11.1524078,10.38990599,9.769586238,9.812162161,9.966979415,9.740217328,10.23949424
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bosnia and Herzegovina,BIH,8.903610232,8.867656188,8.274292743,7.341323681,8.869999827,8.297370379,8.054288694,7.704953273,7.20726994,7.076599733,6.796760081,6.757745777,6.13767227,6.841390006,5.951059096,6.238164176
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Botswana,BWA,2.794699789,2.59029062,2.425615993,2.722386955,2.25958535,1.828380524,2.048364708,2.240732656,2.526018242,2.819081868,2.488037773,2.510917511,2.695270104,2.298528876,2.087683863,2.201055274
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Brazil,BRA,4.750459976,4.801043016,5.475274893,6.167184386,5.665311576,4.651168823,4.370043778,4.416915436,4.567851183,4.476773992,4.115756488,4.34203512,4.168328224,4.506905784,4.32560979,4.319132751
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Brunei Darussalam,BRN,1.024413492,1.134567236,1.093569608,1.222196519,1.127453453,0.946593335,0.706141843,0.689655172,0.635849769,0.908956973,0.733012306,0.575033258,0.655379574,0.684659216,0.863199099,1.102486219
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bulgaria,BGR,11.03631507,10.65753959,9.761227231,9.106437053,8.455378806,7.286660522,6.116037287,4.646886424,5.877049147,4.238352887,4.158814946,4.595029656,4.55958284,4.612165475,4.559076365,4.136598055
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Burkina Faso,BFA,30.78931083,36.18426187,35.78034786,34.36555091,31.61584315,35.29344191,33.9587366,29.93549337,37.00496829,32.3929117,32.54025624,30.79102476,31.48340396,31.66615924,31.36401132,30.27166607
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Burundi,BDI,44.10704011,43.84314206,43.33361124,42.8412837,41.90260497,40.84812339,40.63768227,34.93417192,38.0048233,36.72136414,38.43054529,36.704576,35.4205377,38.3671082,34.95819234,30.68083011
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cabo Verde,CPV,12.8717827,11.41576602,10.35147125,10.14369825,9.863467719,9.001187323,8.318712135,8.517737666,7.751864576,8.319046096,7.989777332,7.84317609,8.446544468,8.279068071,8.015767498,8.737394762
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cambodia,KHM,35.68562535,34.32030026,31.12904348,31.97082205,29.38975764,30.71005759,30.05876192,29.69654194,32.75105777,33.49071752,33.87667876,34.55731403,33.51960361,31.59506243,28.87130353,26.58036001
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cameroon,CMR,16.73646394,17.4293321,16.45167769,15.90761058,15.54837008,14.08356658,13.24024055,13.17893793,13.0957245,13.65706094,14.067657,13.47965227,13.72152458,13.89889921,14.22619681,14.77247235
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Canada,CAN,1.865594807,1.876011065,1.743071599,1.810020979,1.933549132,1.659035672,1.498451622,1.407025723,1.597654579,1.375939874,1.33166399,1.605663978,1.647293626,1.725293697,1.424795747,1.711327321
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cayman Islands,CYM,..,..,..,..,..,..,0.232388419,0.249988084,0.262352127,0.314237406,0.312854497,0.329023759,0.330634393,0.340974026,0.357974783,0.378694096
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,38.33386816,37.3635796,37.56902278,36.81416647,32.25890625,33.98562172,31.52738103
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Chad,TCD,40.70509403,40.2954383,37.9029524,32.28602338,22.89717623,53.81412435,55.77192044,54.67325498,54.5898348,46.54939263,51.94562302,51.19620013,54.89981381,50.04519248,50.64757656,50.3955823
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Chile,CHL,5.377918724,4.408927792,4.435255293,4.455067681,4.06381132,4.13388036,3.87711014,3.7105011,3.710723945,3.741181593,3.615889645,3.671206594,3.304780976,3.381868051,3.731747714,3.63888345
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,China,CHN,14.67624166,13.98346135,13.30148771,12.34899897,12.91664817,11.6414956,10.62576053,10.246164,10.16903653,9.636182036,9.325163854,9.177641031,9.113687846,8.942898986,8.674252737,8.42204052
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Colombia,COL,8.305719533,8.320972677,8.510005177,8.328774165,7.910983162,7.550075744,7.20607089,6.950610496,6.700821579,6.687053183,6.334791196,6.100331083,5.588037774,5.39624072,5.446957215,5.980424808
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Comoros,COM,29.37631994,29.37628658,29.37601242,29.37612727,29.37601992,29.37627389,29.37634063,28.95664626,29.13891501,30.0330064,30.4160595,30.56422084,30.17296341,30.78986256,30.01153359,30.59862821
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Congo, Dem. Rep.",COD,31.97235827,32.87090402,26.58377932,26.05383881,23.87935949,21.57938225,21.21006065,21.6022053,22.61867976,23.6746667,21.42849112,20.91707601,20.44106071,19.31666763,18.56251731,18.3703885
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Congo, Rep.",COG,5.304252999,5.799931651,6.261580123,6.275223939,5.509406303,4.544180397,3.960322565,4.327298473,3.676959489,4.505890479,3.830407012,3.383113301,3.925774106,4.362166032,4.834284371,7.243495885
